Name,Email,Phone,Gender,County,Household_Size,Residence_Category,Cylinder_Size,Delivery_Time,Other_Fuel_Usage,Average_Usage_Days,Usage_Segment
Agnes Onyango,agnes.onyango29@gmail.com,254790975598,Male,Garissa,7,Bedsitter,13kg,Evening,Charcoal,48,Regular Users
Grace Ngugi,grace.ngugi61@gmail.com,254778828974,Male,Samburu,10,Apartment,13kg,Afternoon,Charcoal,141,At-Risk
Faith Achieng,faith.achieng6@gmail.com,254765905439,Female,Nairobi,9,Apartment,50kg,Evening,Charcoal,109,Low Users
Susan Onyango,susan.onyango21@@gmail.com,254738083958,Male,Kisumu,5,Bedsitter,13kg,Morning,Electricity,84,Regular Users
John Maina,john.maina26@gmail.com,254786964846,Male,Kakamega,6,Apartment,13kg,Morning,Firewood,103,Low Users
Mary Muriuki,mary.muriuki1@gmail.com,254794857990,Female,Busia,1,Bedsitter,13kg,Evening,Firewood,138,At-Risk
Mark Ngugi,mark.ngugi54gmail.com,254772756392,Female,Nakuru,5,Business,13kg,Afternoon,Charcoal,35,Heavy Users
Mercy Otieno,mercy.otieno20@gmail.com,254758977876,Male,Kilifi,3,Business,13kg,Evening,Electricity,123,At-Risk
Peter Kibet,peter.kibet94@gmail.com,254737086215,Male,Meru,1,Apartment,6kg,Evening,Electricity,111,Low Users
Susan Achieng,susan.achieng32@gmail.com,254715507606,Female,Garissa,10,Business,13kg,Afternoon,Electricity,46,Regular Users
James Otieno,james.otieno22@gmail.com,254768000275,Male,Nairobi,8,Apartment,13kg,Morning,Firewood,52,Regular Users
James Kimani,james.kimani17@gmail.com,254700031106,Female,Nairobi,1,Bedsitter,6kg,Evening,Charcoal,74,Regular Users
Esther Njoroge,esther.njoroge16@gmail.com,254715920209,Female,Homa Bay,2,House,13kg,Morning,Electricity,26,Heavy Users
Susan Kamau,susan.kamau73@gmail.com,254782630903,Male,Samburu,4,Apartment,Other,Morning,Firewood,76,Regular Users
Agnes Maina,agnes.maina54@gmail.com,254776880034,Male,Bomet,10,House,6kg,Afternoon,Firewood,145,At-Risk
Joseph Achieng,joseph.achieng8@gmail.com,254784616913,Male,Kiambu,10,Business,6kg,Morning,Charcoal,31,Heavy Users
Esther Kuria,esther.kuria8@gmail.com,254795680012,Male,Bungoma,9,Bedsitter,6kg,Evening,Kerosene,35,Heavy Users
James Kiptoo,james.kiptoo34@gmail.com,254752366454,Female,Kakamega,7,Apartment,50kg,Afternoon,None,62,Regular Users
Faith Omondi,faith.omondi48gmail.com,254700354844,Female,Isiolo,3,Apartment,13kg,Evening,Electricity,136,At-Risk
Paul Kimani,paul.kimani96@gmail.com,254714113195,Male,Mombasa,2,Apartment,13kg,Afternoon,Charcoal,130,At-Risk
Mercy Muriuki,mercy.muriuki17@gmail.com,254764922087,Female,Meru,6,Apartment,6kg,Evening,Charcoal,70,Regular Users
Lilian Kiptoo,lilian.kiptoo9@gmail.com,254761560284,Male,Kitui,1,Apartment,13kg,Afternoon,Charcoal,94,Low Users
Agnes Cheruiyot,agnes.cheruiyot25@gmail.com,254769550719,Female,Kisii,3,Apartment,13kg,Evening,Electricity,27,Heavy Users
Grace Karanja,grace.karanja26@gmail.com,254713927909,Male,Trans Nzoia,8,Bedsitter,13kg,Afternoon,Charcoal,64,Regular Users
Daniel Onyango,daniel.onyango70@gmail.com,254716403584,Female,Kisumu,10,Business,13kg,Afternoon,Charcoal,78,Regular Users
Jane Cheruiyot,jane.cheruiyot26@gmail.com,254727838582,Female,Homa Bay,6,House,50kg,Evening,Firewood,123,At-Risk
Ruth Maina,ruth.maina79@gmail.com,254704979617,Male,Nyamira,10,House,13kg,Morning,Charcoal,117,Low Users
David Kiptoo,david.kiptoo5@gmail.com,254781252776,Male,Mandera,7,Apartment,6kg,Afternoon,Firewood,98,Low Users
Robert Ngugi,robert.ngugi20@gmail.com,254710917499,Male,Migori,2,Apartment,13kg,Evening,None,143,At-Risk
Ruth Kibet,ruth.kibet99@gmail.com,254741534572,Male,Marsabit,5,Apartment,13kg,Afternoon,None,23,Heavy Users
Esther Cheruiyot,esther.cheruiyot53@gmail.com,254778500817,Female,Kilifi,1,Bedsitter,6kg,Afternoon,Firewood,109,Low Users
Esther Mwangi,esther.mwangi18@gmail.com,254724616167,Female,Kakamega,9,Apartment,13kg,Morning,None,123,At-Risk
Grace Mwangi,grace.mwangi48@gmial.com,254702276690,Female,Lamu,4,Bedsitter,6kg,Morning,Charcoal,138,At-Risk
James Maina,james.maina63gmail.com,254789985821,Male,Laikipia,4,Business,13kg,Afternoon,Charcoal,75,Regular Users
Jane Kimani,jane.kimani94@gmail.com,254714884956,Male,Kericho,5,Apartment,13kg,Afternoon,Firewood,115,Low Users
Faith Njoroge,faith.njoroge24@@gmail.com,254715167954,Female,Nairobi,7,Business,13kg,Evening,Firewood,94,Low Users
Faith Kiptoo,faith.kiptoo7@gmail.com,254747653338,Female,Laikipia,10,Bedsitter,13kg,Afternoon,Electricity,51,Regular Users
Ruth Njoroge,ruth.njoroge89@gmail.com,254757435576,Female,Kiambu,4,Business,13kg,Afternoon,None,47,Regular Users
John Muriuki,john.muriuki23@gmail.com,254740411031,Female,Kiambu,5,House,13kg,Afternoon,Charcoal,41,Heavy Users
Susan Kiptoo,susan.kiptoo50@@gmail.com,254717356381,Male,Nairobi,2,Bedsitter,13kg,Morning,None,36,Heavy Users
Michael Otieno,michael.otieno12@gmail.com,254783588145,Female,Migori,10,House,50kg,Evening,Charcoal,78,Regular Users
Jane Kibet,jane.kibet6@gmail.com,254756931509,Female,Embu,10,Apartment,13kg,Morning,Electricity,109,Low Users
Jane Maina,"jane.maina1@gmail.com,",254734542424,Male,Nakuru,5,Business,13kg,Evening,Charcoal,125,At-Risk
Mercy Otieno,mercy.otieno9@gmail.com,254769288761,Female,Tharaka Nithi,4,House,13kg,Morning,Kerosene,45,Heavy Users
Agnes Karanja,agnes.karanja76@gmail.com,254753223883,Male,West Pokot,2,House,13kg,Evening,Charcoal,44,Heavy Users
Esther Mutua,esther.mutua9@gmail.com,254773733610,Female,Kiambu,10,Apartment,13kg,Morning,None,64,Regular Users
Michael Kamau,michael.kamau9@gmail.com,254763599360,Male,Samburu,8,Business,13kg,Afternoon,None,102,Low Users
Paul Njoroge,paul.njoroge31@gmail.com,254762596096,Female,Kajiado,1,Bedsitter,13kg,Evening,Electricity,30,Heavy Users
David Kiptoo,david.kiptoo86@gmail.com,254741489946,Male,Tharaka Nithi,2,Apartment,6kg,Evening,Kerosene,123,At-Risk
Mercy Cheruiyot,mercy.cheruiyot92@gmail.com,254735445631,Male,Samburu,7,House,13kg,Evening,Charcoal,87,Regular Users
Jane Njoroge,jane.njoroge9@gmail.com,254772469947,Male,Uasin Gishu,10,Apartment,13kg,Evening,Electricity,114,Low Users
Daniel Omondi,daniel.omondi23@gmail.com,254795628610,Female,Machakos,4,Apartment,Other,Evening,Firewood,84,Regular Users
Peter Maina,peter.maina39@gmail.com,254710422888,Male,Nandi,5,House,13kg,Evening,Charcoal,68,Regular Users
Susan Achieng,susan.achieng81@gmail.com,254748102322,Male,Wajir,6,House,13kg,Afternoon,None,71,Regular Users
David Mwangi,david.mwangi4@gmail.com,254751643136,Female,Baringo,7,House,13kg,Morning,Charcoal,121,At-Risk
Michael Omondi,michael.omondi6@gmail.com,254733646590,Female,Busia,1,House,50kg,Afternoon,Charcoal,76,Regular Users
Susan Mugo,susan.mugo71@gmail.com,254742293145,Female,Nairobi,8,House,6kg,Evening,None,66,Regular Users
Daniel Otieno,daniel.otieno23@gmail.com,254733248386,Female,West Pokot,7,Apartment,13kg,Evening,None,45,Heavy Users
Paul Ngugi,paul.ngugi64@gmail.com,254765880450,Female,Homa Bay,8,Bedsitter,13kg,Afternoon,Charcoal,133,At-Risk
Ruth Kamau,"ruth.kamau82@gmail.com,",254709629269,Male,Machakos,4,Apartment,13kg,Morning,Charcoal,24,Heavy Users
John Kiptoo,john.kiptoo90@gmail.com,254754587821,Female,Elgeyo Marakwet,3,Apartment,13kg,Morning,Firewood,103,Low Users
Joseph Kibet,joseph.kibet83@gmail.com,254726031974,Female,Narok,6,Business,13kg,Morning,Charcoal,71,Regular Users
Mercy Mugo,mercy.mugo83@gmail.com,254762197902,Female,Siaya,8,House,13kg,Morning,Kerosene,124,At-Risk
Mary Kiptoo,mary.kiptoo30@gmail.com,254712896805,Female,Mombasa,10,Apartment,13kg,Evening,Kerosene,73,Regular Users
Paul Kiptoo,paul.kiptoo68@gmail.com,254704877171,Male,Kakamega,6,Apartment,Other,Morning,Electricity,34,Heavy Users
Joseph Mutua,joseph.mutua84@gmail.com,254760714910,Female,Kakamega,10,Apartment,13kg,Evening,Charcoal,80,Regular Users
David Kiptoo,david.kiptoo53@gmail.com,254719481023,Female,Kitui,7,Bedsitter,13kg,Evening,Firewood,141,At-Risk
Esther Kimani,esther.kimani89@gmail.com,254702042985,Female,Kirinyaga,1,Bedsitter,13kg,Morning,Electricity,40,Heavy Users
Grace Mutua,grace.mutua88@gmail.com,254712305726,Male,Kirinyaga,5,Apartment,13kg,Evening,Charcoal,65,Regular Users
Grace Muriuki,grace.muriuki82@gmail.com,254718650827,Female,Vihiga,10,Apartment,13kg,Afternoon,Firewood,57,Regular Users
Joseph Njoroge,joseph.njoroge1@gmail.com,254739592723,Male,Bomet,7,Business,13kg,Morning,Charcoal,81,Regular Users
Michael Mutua,michael.mutua43@gmail.com,254740517099,Male,Meru,3,Apartment,13kg,Morning,Charcoal,105,Low Users
Susan Muriuki,susan.muriuki12@@gmail.com,254797048833,Male,West Pokot,3,House,6kg,Afternoon,Charcoal,97,Low Users
Grace Kamau,grace.kamau77@gmail.com,254785862128,Female,Isiolo,6,House,6kg,Evening,Firewood,65,Regular Users
Agnes Onyango,agnes.onyango98@gmail.com,254764334990,Female,Elgeyo Marakwet,10,Apartment,13kg,Afternoon,Firewood,22,Heavy Users
Jane Omondi,jane.omondi68@gmail.com,254720399451,Female,Nairobi,2,Apartment,13kg,Morning,Firewood,25,Heavy Users
Mary Mutua,mary.mutua75@gmail.com,254740037847,Male,Kwale,9,Apartment,13kg,Afternoon,Charcoal,112,Low Users
Michael Mugo,michael.mugo57@gmail.com,254719679083,Male,Mandera,2,Bedsitter,13kg,Morning,Firewood,27,Heavy Users
Esther Mutua,esther.mutua90@gmail.com,254768935782,Female,Kisii,4,Apartment,6kg,Afternoon,Electricity,127,At-Risk
Susan Kibet,susan.kibet10@gmail.com,254753564548,Male,Nakuru,1,Business,50kg,Morning,Firewood,94,Low Users
Mark Kiptoo,mark.kiptoo21@gmail.com,254758887111,Female,Kisumu,6,House,13kg,Morning,Firewood,96,Low Users
Michael Onyango,michael.onyango47@gmail.com,254723204875,Female,Kirinyaga,7,Apartment,13kg,Evening,Electricity,69,Regular Users
Michael Kuria,michael.kuria54@gmail.com,254793322206,Female,Kisumu,6,Bedsitter,13kg,Morning,Kerosene,30,Heavy Users
Peter Karanja,peter.karanja52@gmial.com,254779056498,Female,Tharaka Nithi,2,House,13kg,Evening,Charcoal,114,Low Users
Susan Cheruiyot,susan.cheruiyot29@gmail.com,254711959090,Female,Nyamira,8,Business,50kg,Evening,None,89,Regular Users
Peter Karanja,peter.karanja51@gmail.com,254737036028,Male,Nairobi,4,Bedsitter,Other,Morning,Charcoal,35,Heavy Users
Robert Karanja,robert.karanja31@gmail.com,254776840079,Female,Kitui,8,House,6kg,Evening,Electricity,87,Regular Users
Paul Karanja,paul.karanja67@gmail.com,254787166808,Male,Laikipia,6,House,13kg,Morning,Charcoal,118,Low Users
Mary Omondi,mary.omondi98@gmail.com,254729449548,Male,Laikipia,2,Bedsitter,13kg,Morning,Electricity,67,Regular Users
Ruth Mugo,ruth.mugo71@gmail.com,254760639985,Female,Nairobi,1,Apartment,13kg,Evening,Charcoal,83,Regular Users
Peter Kamau,peter.kamau24@gmail.com,254739121146,Female,Kwale,9,Bedsitter,50kg,Morning,Firewood,109,Low Users
John Omondi,john.omondi45@gmail.com,254767326784,Male,Embu,10,House,13kg,Evening,Electricity,95,Low Users
John Njoroge,john.njoroge88@gmail.com,254719405769,Female,Lamu,10,Business,13kg,Morning,Firewood,120,Low Users
John Kimani,john.kimani72@gmail.com,254729228874,Female,Busia,4,Business,13kg,Morning,Charcoal,108,Low Users
Michael Cheruiyot,michael.cheruiyot38@gmail.com,254757458668,Male,Baringo,7,Apartment,6kg,Afternoon,None,37,Heavy Users
Michael Kiptoo,michael.kiptoo87@gmail.com,254725924409,Male,Nakuru,8,Bedsitter,6kg,Morning,None,38,Heavy Users
Mark Mwangi,mark.mwangi17@gmail.com,254792723054,Male,Homa Bay,2,Business,13kg,Afternoon,None,74,Regular Users
Mary Omondi,mary.omondi57@gmail.com,254751872481,Male,Nyamira,4,Apartment,13kg,Morning,Electricity,121,At-Risk
Susan Cheruiyot,susan.cheruiyot30@gmail.com,254742777467,Male,Nyeri,9,House,50kg,Evening,Electricity,137,At-Risk
Esther Karanja,esther.karanja58@gmail.com,254747327178,Female,Machakos,3,Bedsitter,13kg,Morning,Charcoal,23,Heavy Users
Paul Mugo,paul.mugo15@gmail.com,254786547083,Male,Kajiado,9,Business,13kg,Morning,Charcoal,127,At-Risk
Jane Karanja,jane.karanja17@gmail.com,254792270968,Male,Vihiga,6,Bedsitter,6kg,Afternoon,None,134,At-Risk
Daniel Maina,daniel.maina42@gmail.com,254706964579,Female,Garissa,1,Apartment,13kg,Morning,Charcoal,48,Regular Users
Joseph Kiptoo,joseph.kiptoo74@gmail.com,254795454613,Male,Lamu,10,House,13kg,Afternoon,Firewood,78,Regular Users
Jane Cheruiyot,jane.cheruiyot61@gmail.com,254799425605,Female,Nairobi,5,House,Other,Evening,Charcoal,144,At-Risk
Joseph Mugo,joseph.mugo33@gmial.com,254748824226,Male,Kirinyaga,10,Apartment,50kg,Morning,Charcoal,117,Low Users
David Kuria,david.kuria97@gmail.com,254774950784,Male,Lamu,3,Business,13kg,Evening,Firewood,36,Heavy Users
David Maina,david.maina22@gmail.com,254770521093,Male,Kwale,5,Apartment,13kg,Afternoon,Firewood,126,At-Risk
Daniel Kuria,daniel.kuria41@gmail.com,254726402290,Female,Kisumu,5,Bedsitter,13kg,Afternoon,Electricity,62,Regular Users
Robert Kibet,robert.kibet27@gmail.com,254710348252,Female,Isiolo,3,Apartment,13kg,Afternoon,Charcoal,99,Low Users
John Omondi,john.omondi43@gmail.com,254790578751,Female,Marsabit,5,House,13kg,Evening,Electricity,27,Heavy Users
Ruth Onyango,ruth.onyango60@gmail.com,254734798671,Female,Nyamira,8,Bedsitter,13kg,Morning,Firewood,125,At-Risk
James Kuria,james.kuria59@gmail.com,254746202405,Female,Bomet,10,Bedsitter,Other,Evening,Firewood,27,Heavy Users
Robert Omondi,robert.omondi99@gmial.com,254758107561,Male,Muranga,10,Bedsitter,13kg,Afternoon,None,115,Low Users
Mercy Mwangi,mercy.mwangi82@gmail.com,254777010047,Male,Elgeyo Marakwet,9,Business,13kg,Morning,None,113,Low Users
Mercy Muriuki,mercy.muriuki82@gmail.com,254718283166,Male,Marsabit,8,Apartment,50kg,Evening,Charcoal,84,Regular Users
Jane Onyango,jane.onyango9@gmail.com,254743312202,Female,Nairobi,6,Apartment,6kg,Morning,Firewood,58,Regular Users
Jane Onyango,jane.onyango78@gmail.com,254722270204,Male,Uasin Gishu,5,Bedsitter,13kg,Afternoon,Electricity,100,Low Users
Mercy Mutua,mercy.mutua37@gmail.com,254738816128,Female,Laikipia,10,Apartment,13kg,Afternoon,Kerosene,103,Low Users
Daniel Maina,daniel.maina56@gmail.com,254749635596,Male,Wajir,7,Bedsitter,13kg,Evening,Firewood,107,Low Users
Paul Otieno,paul.otieno17@@gmail.com,254732598861,Male,Embu,6,Apartment,13kg,Afternoon,Kerosene,105,Low Users
Susan Kimani,susan.kimani25@gmail.com,254746351448,Female,Siaya,3,House,6kg,Afternoon,Firewood,112,Low Users
Peter Muriuki,peter.muriuki36@gmail.com,254710531412,Male,Kisumu,10,Bedsitter,13kg,Morning,None,105,Low Users
James Kimani,james.kimani62@gmail.com,254750994399,Female,Tana River,1,Bedsitter,50kg,Afternoon,Firewood,63,Regular Users
Paul Ngugi,paul.ngugi31@gmail.com,254719476372,Male,Nandi,5,Business,6kg,Evening,Kerosene,93,Low Users
Ruth Mutua,ruth.mutua52@gmail.com,254765044339,Female,Isiolo,9,House,13kg,Morning,Firewood,55,Regular Users
Grace Karanja,grace.karanja95@gmail.com,254709598013,Male,Kisii,9,Apartment,13kg,Evening,None,120,Low Users
Jane Ngugi,jane.ngugi20@gmail.com,254717381409,Male,Tana River,10,Apartment,13kg,Morning,Electricity,123,At-Risk
Agnes Kimani,agnes.kimani40@gmail.com,254740965762,Female,Laikipia,6,Bedsitter,Other,Afternoon,None,85,Regular Users
Joseph Kuria,joseph.kuria48@gmail.com,254716863102,Male,Kakamega,9,Apartment,50kg,Morning,None,74,Regular Users
Ruth Karanja,ruth.karanja54@gmail.com,254786673124,Male,Kajiado,9,Business,6kg,Evening,Charcoal,110,Low Users
Robert Kuria,robert.kuria85@gmail.com,254768444402,Male,Samburu,6,Apartment,6kg,Evening,Electricity,41,Heavy Users
Paul Achieng,paul.achieng60@gmail.com,254780202469,Female,Laikipia,5,House,50kg,Afternoon,Charcoal,120,Low Users
Esther Muriuki,esther.muriuki80@gmail.com,254721272938,Male,Elgeyo Marakwet,7,Apartment,6kg,Evening,Firewood,140,At-Risk
Lilian Mugo,lilian.mugo13@gmail.com,254775956215,Male,Baringo,10,House,13kg,Evening,Charcoal,112,Low Users
Esther Kimani,esther.kimani85@gmail.com,254734521763,Male,Nairobi,10,Business,13kg,Afternoon,Firewood,127,At-Risk
Mary Mugo,mary.mugo8@gmail.com,254760578044,Male,Bungoma,4,Bedsitter,13kg,Afternoon,Charcoal,29,Heavy Users
Michael Mugo,michael.mugo85@gmail.com,254770775464,Male,Embu,10,Apartment,6kg,Morning,Charcoal,28,Heavy Users
James Achieng,james.achieng65@gmail.com,254725257782,Female,Nyeri,7,Bedsitter,13kg,Afternoon,Charcoal,53,Regular Users
Joseph Kiptoo,joseph.kiptoo40@gmail.com,254701669947,Female,Makueni,8,Bedsitter,13kg,Afternoon,Charcoal,148,At-Risk
Esther Maina,esther.maina7@@gmail.com,254737137215,Female,Nyeri,1,Bedsitter,Other,Morning,Charcoal,108,Low Users
Faith Karanja,faith.karanja37@gmail.com,254782495249,Male,Nandi,6,Bedsitter,6kg,Morning,Electricity,112,Low Users
Esther Mugo,esther.mugo1@gmail.com,254793018008,Male,Nairobi,1,Business,13kg,Evening,Firewood,90,Regular Users
Lilian Mutua,lilian.mutua25@gmail.com,254792044922,Male,Kericho,6,House,13kg,Morning,Electricity,86,Regular Users
David Kimani,david.kimani9@gmail.com,254753657748,Female,West Pokot,7,Bedsitter,50kg,Evening,Charcoal,136,At-Risk
James Kamau,"james.kamau57@gmail.com,",254779862501,Female,Kilifi,4,Business,13kg,Afternoon,Charcoal,113,Low Users
Paul Ngugi,paul.ngugi58@gmail.com,254774201602,Female,Nairobi,2,Business,13kg,Evening,Electricity,118,Low Users
Susan Achieng,susan.achieng54@gmail.com,254735234744,Female,Nakuru,8,Bedsitter,6kg,Evening,Charcoal,132,At-Risk
John Omondi,john.omondi14@gmail.com,254766557601,Male,Kisii,5,House,6kg,Afternoon,None,122,At-Risk
Lilian Muriuki,lilian.muriuki55@gmail.com,254787760339,Female,Kericho,3,Bedsitter,13kg,Morning,Charcoal,110,Low Users
Joseph Cheruiyot,joseph.cheruiyot24@gmail.com,254755880166,Male,Kakamega,5,Bedsitter,13kg,Evening,Electricity,109,Low Users
Ruth Mugo,ruth.mugo18@gmail.com,254770967202,Female,Machakos,3,Bedsitter,6kg,Afternoon,Charcoal,36,Heavy Users
John Achieng,john.achieng94@gmail.com,254723279585,Male,Kericho,3,Apartment,50kg,Afternoon,Charcoal,37,Heavy Users
Lilian Kamau,lilian.kamau61@gmail.com,254717614837,Male,Siaya,10,House,13kg,Evening,Charcoal,135,At-Risk
Peter Kamau,peter.kamau60@gmail.com,254775028814,Female,Vihiga,9,Bedsitter,50kg,Morning,Charcoal,112,Low Users
Lilian Mutua,lilian.mutua2@gmail.com,254731793458,Female,Nairobi,4,Business,6kg,Morning,Firewood,110,Low Users
John Njoroge,john.njoroge19@gmail.com,254751590344,Male,Kisumu,4,Apartment,Other,Evening,Charcoal,101,Low Users
Esther Omondi,esther.omondi20@gmail.com,254726503834,Female,Mandera,3,Business,13kg,Afternoon,Charcoal,87,Regular Users
James Mwangi,james.mwangi23@gmail.com,254799931830,Male,Mombasa,7,Apartment,13kg,Morning,Charcoal,133,At-Risk
Ruth Mugo,ruth.mugo27@gmial.com,254790480304,Female,Kisii,5,House,13kg,Evening,Firewood,20,Heavy Users
James Achieng,james.achieng34@gmail.com,254733386532,Male,Meru,8,Business,6kg,Morning,Firewood,77,Regular Users
Paul Njoroge,paul.njoroge62@gmail.com,254769214967,Male,Isiolo,3,Apartment,6kg,Morning,Firewood,128,At-Risk
Joseph Otieno,joseph.otieno85@gmail.com,254743154674,Female,Kiambu,2,Apartment,6kg,Evening,Charcoal,135,At-Risk
Faith Muriuki,faith.muriuki84@gmail.com,254774195405,Female,Nandi,10,Bedsitter,13kg,Afternoon,None,106,Low Users
James Onyango,james.onyango71@gmail.com,254789584959,Female,Nairobi,6,Apartment,13kg,Morning,None,29,Heavy Users
Grace Kamau,grace.kamau62@gmial.com,254704053959,Female,Kirinyaga,8,Bedsitter,13kg,Afternoon,Kerosene,78,Regular Users
Jane Kiptoo,jane.kiptoo53@gmail.com,254730782990,Male,Nyamira,9,Business,13kg,Morning,None,60,Regular Users
Agnes Omondi,agnes.omondi21@gmail.com,254764365484,Female,Muranga,5,Business,50kg,Evening,Firewood,124,At-Risk
Mercy Mwangi,mercy.mwangi86@gmail.com,254765621257,Female,Isiolo,7,Bedsitter,13kg,Evening,Charcoal,141,At-Risk
Mark Kamau,mark.kamau36@gmail.com,254794408621,Female,Tana River,10,House,13kg,Morning,Charcoal,41,Heavy Users
Paul Karanja,paul.karanja89@gmail.com,254731387080,Female,Kiambu,4,Business,6kg,Afternoon,Electricity,117,Low Users
Mary Muriuki,"mary.muriuki55@gmail.com,",254767412498,Male,Bomet,9,House,Other,Evening,None,87,Regular Users
Susan Omondi,susan.omondi38@gmail.com,254764181268,Female,Kericho,9,Business,13kg,Morning,Charcoal,75,Regular Users
Daniel Kamau,daniel.kamau14@gmail.com,254758939286,Male,Kiambu,6,House,13kg,Afternoon,Firewood,118,Low Users
James Kamau,james.kamau90@gmail.com,254749097867,Female,Uasin Gishu,3,House,Other,Evening,Charcoal,95,Low Users
Peter Muriuki,peter.muriuki1@gmail.com,254784172221,Male,West Pokot,2,Bedsitter,13kg,Morning,Charcoal,45,Heavy Users
Lilian Kibet,lilian.kibet14@gmail.com,254784838640,Female,Migori,5,Apartment,Other,Morning,None,134,At-Risk
Lilian Muriuki,lilian.muriuki1@gmail.com,254754209825,Male,Mombasa,4,House,13kg,Afternoon,Firewood,128,At-Risk
Ruth Karanja,ruth.karanja42@gmail.com,254756553455,Female,Migori,3,Business,Other,Morning,None,66,Regular Users
Mark Cheruiyot,mark.cheruiyot41@gmail.com,254702558148,Female,Nandi,6,Bedsitter,Other,Morning,Firewood,90,Regular Users
Robert Mutua,robert.mutua56@gmail.com,254765873165,Male,Samburu,10,Bedsitter,13kg,Evening,Electricity,59,Regular Users
Daniel Njoroge,daniel.njoroge27@gmail.com,254755288841,Female,Kajiado,10,Business,13kg,Evening,Electricity,42,Heavy Users
Michael Kimani,michael.kimani26@gmail.com,254736734184,Female,Makueni,4,Apartment,6kg,Afternoon,Firewood,125,At-Risk
James Kibet,james.kibet65@gmail.com,254733507235,Female,Kirinyaga,3,Business,13kg,Evening,Charcoal,103,Low Users
Mercy Maina,mercy.maina19@gmail.com,254723662153,Male,Bomet,5,House,6kg,Afternoon,Electricity,135,At-Risk
Michael Mugo,michael.mugo56@gmail.com,254716691351,Male,Mandera,6,Business,50kg,Evening,Electricity,128,At-Risk
Agnes Mugo,agnes.mugo20@gmail.com,254762041460,Male,Meru,9,Apartment,13kg,Afternoon,Electricity,60,Regular Users
Agnes Mutua,agnes.mutua82@gmail.com,254775064203,Male,Laikipia,9,Bedsitter,50kg,Evening,Electricity,131,At-Risk
Peter Kibet,peter.kibet27@gmail.com,254751530383,Female,Nyamira,3,Business,13kg,Evening,Electricity,131,At-Risk
James Omondi,james.omondi15@gmail.com,254702978436,Female,Homa Bay,7,Apartment,13kg,Afternoon,Charcoal,122,At-Risk
Mary Kamau,mary.kamau57@gmail.com,254738815725,Male,Migori,2,Bedsitter,13kg,Evening,Charcoal,65,Regular Users
Jane Ngugi,jane.ngugi62@gmail.com,254777280735,Male,Uasin Gishu,10,Bedsitter,13kg,Morning,Charcoal,87,Regular Users
Mary Maina,mary.maina42@gmail.com,254766888058,Male,Uasin Gishu,8,Apartment,6kg,Evening,Charcoal,141,At-Risk
Lilian Njoroge,lilian.njoroge30@gmail.com,254765769333,Female,Machakos,2,Apartment,50kg,Afternoon,Electricity,34,Heavy Users
Lilian Achieng,"lilian.achieng56@gmail.com,",254722693530,Female,Bungoma,9,Business,13kg,Afternoon,Firewood,148,At-Risk
Daniel Mutua,daniel.mutua9@gmail.com,254754331455,Female,Mombasa,9,Business,6kg,Afternoon,Electricity,130,At-Risk
John Muriuki,john.muriuki80@gmail.com,254763375265,Female,Marsabit,8,Bedsitter,13kg,Evening,None,43,Heavy Users
Michael Kiptoo,michael.kiptoo91@gmail.com,254741520981,Male,Nairobi,2,Bedsitter,6kg,Morning,Charcoal,46,Regular Users
Robert Omondi,robert.omondi58@gmail.com,254723839775,Male,Marsabit,8,Bedsitter,6kg,Morning,Charcoal,59,Regular Users
Lilian Karanja,lilian.karanja43@gmail,254736842712,Female,Nakuru,1,Bedsitter,Other,Evening,Charcoal,43,Heavy Users
Robert Njoroge,robert.njoroge39@gmail.com,254773636961,Male,Tharaka Nithi,10,House,6kg,Evening,None,43,Heavy Users
Grace Onyango,grace.onyango50@gmail.com,254799929490,Female,Garissa,3,House,13kg,Morning,None,23,Heavy Users
Daniel Karanja,daniel.karanja98@gmail.com,254792864313,Male,Kirinyaga,7,Business,6kg,Morning,Kerosene,86,Regular Users
James Ngugi,james.ngugi99@gmail.com,254724311014,Male,Migori,8,Business,13kg,Morning,Charcoal,53,Regular Users
Peter Kibet,peter.kibet29@gmail.com,254722977847,Male,Laikipia,4,Apartment,6kg,Afternoon,Charcoal,135,At-Risk
Grace Mwangi,grace.mwangi83@gmail,254719859414,Male,Muranga,5,House,50kg,Morning,None,42,Heavy Users
Ruth Achieng,ruth.achieng91@gmail.com,254730397723,Male,Bomet,10,Business,13kg,Evening,Charcoal,128,At-Risk
Esther Mugo,esther.mugo33@gmail.com,254779561046,Male,Garissa,3,Apartment,6kg,Evening,Charcoal,88,Regular Users
David Ngugi,david.ngugi22@gmail.com,254748832126,Male,Kilifi,2,Apartment,Other,Evening,Charcoal,114,Low Users
Robert Achieng,robert.achieng24@gmail.com,254726846536,Female,Nyamira,4,Apartment,6kg,Afternoon,Charcoal,81,Regular Users
Faith Omondi,faith.omondi95@gmail.com,254781192650,Female,Siaya,3,Business,13kg,Morning,Charcoal,76,Regular Users
Robert Otieno,robert.otieno95@gmail.com,254776667587,Male,Tana River,2,Apartment,13kg,Evening,None,73,Regular Users
John Kuria,john.kuria40@gmail.com,254745732398,Female,Makueni,4,Bedsitter,13kg,Afternoon,Charcoal,89,Regular Users
Jane Otieno,jane.otieno12@gmail.com,254792043166,Male,Mandera,1,Apartment,13kg,Afternoon,Charcoal,120,Low Users
